dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W,family,dijk_mean_resistance,dijk_std_resistance,dijk_mean_tortuosity,dijk_std_tortuosity,dijk_mean_lateral,dijk_mean_time_ms,greedy_mean_resistance,greedy_std_resistance,greedy_mean_tortuosity,greedy_std_tortuosity,greedy_mean_lateral,greedy_mean_time_ms,tau_gap,res_gap,efficiency,dijk_time_ms,greedy_time_ms,speedup
24,bimodal_p0=0.600,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,24.0,0.4082,1.2747,0.0467,0.0,0.0,0.9857,0.0566,6.355,2.4141,1.0,200,50,100,bimodal,0.0,0.0,1.3465,0.008904252595569952,35.666666666666664,15890.90700833282,348.0,177.4501942195934,1.1245,0.6127974496403474,61.666666666666664,7757.407588864832,-0.22199999999999998,348.0,0.0,15890.90700833282,7757.407588864832,2.048481638523546
13,bimodal_p0=0.325,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,6.75,21.9375,-0.7473,1.5416,0.1472,106.95,13.4947,0.9971,0.0564,12.02,4.9306,0.8579,200,50,100,bimodal,942.0,21.111946516469903,1.5940000000000003,0.07249261046085023,51.266666666666666,11929.471872199792,1052.6666666666667,939.6919454698717,0.8069999999999999,0.7138534763621214,27.866666666666667,7746.868599997833,-0.7870000000000004,110.66666666666674,0.8948701709943001,11929.471872199792,7746.868599997833,1.539908895860597
8,bimodal_p0=0.200,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8.0,16.0,-1.5,1.3205,0.0989,226.5,13.6999,0.9841,0.0538,8.09,3.7567,0.6495,200,50,100,bimodal,1920.6666666666667,29.14659173083209,1.3691666666666669,0.03952470595655811,39.6,10826.608413935173,2139.3333333333335,1054.8220341884805,1.0236666666666667,0.5051492589418733,22.0,7733.24721113313,-0.34550000000000014,218.66666666666674,0.8977874727329386,10826.608413935173,7733.24721113313,1.4000080584969148
25,bimodal_p0=0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,3.75,23.4375,0.5164,1.2385,0.0384,0.0,0.0,0.9742,0.0612,5.615,2.1021,1.0,200,50,100,bimodal,0.0,0.0,1.2936666666666667,0.009154754164341288,24.6,11062.504908333842,343.3333333333333,130.8579746282569,1.3250000000000002,0.4677940251862992,76.53333333333333,7685.922372201458,0.031333333333333435,343.3333333333333,0.0,11062.504908333842,7685.922372201458,1.4393204058819082
4,bimodal_p0=0.100,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.0,9.0,-2.6667,1.1513,0.0623,334.9,13.487,0.9615,0.0457,4.7,2.3575,0.406,200,50,100,bimodal,2861.3333333333335,17.674302033770736,1.1844999999999999,0.023777240017654296,26.8,10711.265852802899,3388.0,861.0060560596705,1.1544999999999999,0.29157546193052664,12.666666666666666,7677.546186135926,-0.030000000000000027,526.6666666666665,0.8445493900039355,10711.265852802899,7677.546186135926,1.3951418321839923
40,bimodal_p0=1.000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9453,0.0,0.0,0.0,1.0,200,50,100,bimodal,0.0,0.0,0.9975000000000003,2.298380017448157e-16,0.0,11868.447172265345,0.0,0.0,0.9975000000000003,2.298380017448157e-16,0.0,7744.507697197453,0.0,0.0,1.0,11868.447172265345,7744.507697197453,1.5324985959482285
19,bimodal_p0=0.475,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,5.25,24.9375,-0.1001,1.8435,0.2894,9.45,6.9599,1.0267,0.0562,18.035,8.5216,0.9894,200,50,100,bimodal,66.0,14.040757000349274,2.3066666666666666,0.26552788841063296,104.93333333333334,10630.344661135072,466.6666666666667,439.9621195815234,0.6834999999999999,0.6460697109666816,34.666666666666664,7666.5736583333155,-1.6231666666666666,400.6666666666667,0.14142857142857143,10630.344661135072,7666.5736583333155,1.3865835162987359
39,bimodal_p0=0.975,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.25,2.4375,6.0849,1.0023,0.0064,0.0,0.0,0.9465,0.0034,0.115,0.3198,1.0,200,50,100,bimodal,0.0,0.0,1.0034999999999996,0.0022756474745819506,2.0,10931.57941113459,0.0,0.0,1.0221666666666664,0.008444496658151033,9.6,7767.615200000971,0.01866666666666683,0.0,1.0,10931.57941113459,7767.615200000971,1.4073276198250944
60,uniform_2to3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.25,0.0,1.0196,0.0178,112.74,1.4501,0.9475,0.02,0.915,0.8314,0.0,200,50,100,uniform,942.2666666666667,2.3441924185608345,1.0279999999999998,0.004836616290637219,6.666666666666667,10896.074366666533,998.8666666666667,8.927218945183213,0.9975000000000003,2.298380017448157e-16,0.0,7710.146322202248,-0.030499999999999527,56.60000000000002,0.9433357805512914,10896.074366666533,7710.146322202248,1.4132123971875918
90,uniform_7to8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,7.5,0.25,0.0,1.0,0.0,358.825,1.3578,0.9453,0.0,0.0,0.0,0.0,200,50,100,uniform,2957.6,3.9424430424366497,0.9996666666666667,0.0022886885410852687,0.6666666666666666,12259.339305533407,2992.266666666667,12.73054070598208,0.9975000000000003,2.298380017448157e-16,0.0,7740.242988864581,-0.002166666666666428,34.66666666666697,0.9884145798057213,12259.339305533407,7740.242988864581,1.5838442440592855
