dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
0,bimodal_p0=0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,490.0,0.0,0.9453,0.0,0.0,0.0,0.0,200,50,100
1,bimodal_p0=0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,9.75,2.4375,-6.0849,1.0337,0.0272,434.25,9.5863,0.9484,0.026,1.4,1.143,0.1425,200,50,100
2,bimodal_p0=0.050,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,9.5,4.75,-4.1295,1.0731,0.0393,398.35,11.8524,0.9571,0.0357,2.725,1.641,0.2422,200,50,100
3,bimodal_p0=0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925,9.25,6.9375,-3.2271,1.1116,0.0546,367.6,12.0401,0.9539,0.0446,3.875,2.0979,0.3246,200,50,100
4,bimodal_p0=0.100,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.0,9.0,-2.6667,1.1513,0.0623,334.9,13.487,0.9615,0.0457,4.7,2.3575,0.406,200,50,100
5,bimodal_p0=0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,8.75,10.9375,-2.2678,1.1791,0.0673,307.9,14.0919,0.9689,0.0516,5.52,2.8052,0.4668,200,50,100
6,bimodal_p0=0.150,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,8.5,12.75,-1.9604,1.2307,0.082,279.15,12.672,0.9631,0.0627,6.455,3.0355,0.5366,200,50,100
7,bimodal_p0=0.175,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,8.25,14.4375,-1.7107,1.2745,0.078,252.45,13.2049,0.9745,0.054,7.335,3.0806,0.5957,200,50,100
8,bimodal_p0=0.200,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8.0,16.0,-1.5,1.3205,0.0989,226.5,13.6999,0.9841,0.0538,8.09,3.7567,0.6495,200,50,100
9,bimodal_p0=0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,7.75,17.4375,-1.3171,1.3518,0.103,200.75,13.5223,0.9847,0.0557,8.67,4.1819,0.6966,200,50,100
