dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
0,bimodal_p0=0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,290.0,0.0,0.9628,0.0,0.0,0.0,0.0,200,30,60
1,bimodal_p0=0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,9.75,2.4375,-6.0849,1.0247,0.0278,254.35,7.4737,0.9656,0.0301,0.705,0.7881,0.1439,200,30,60
2,bimodal_p0=0.050,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,9.5,4.75,-4.1295,1.059,0.0448,233.35,8.5817,0.9647,0.0483,1.54,1.2065,0.2399,200,30,60
3,bimodal_p0=0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.925,9.25,6.9375,-3.2271,1.093,0.0615,212.8,10.6171,0.9707,0.0605,2.195,1.5194,0.328,200,30,60
4,bimodal_p0=0.100,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.0,9.0,-2.6667,1.1412,0.0669,195.05,10.4664,0.9796,0.0593,3.075,1.6833,0.4108,200,30,60
5,bimodal_p0=0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,8.75,10.9375,-2.2678,1.1627,0.0884,178.0,12.1134,0.9761,0.0679,3.495,2.2839,0.471,200,30,60
6,bimodal_p0=0.150,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,8.5,12.75,-1.9604,1.2063,0.0855,160.35,13.1622,1.0033,0.0612,4.005,2.1255,0.5414,200,30,60
7,bimodal_p0=0.175,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825,8.25,14.4375,-1.7107,1.2365,0.0903,144.1,12.7673,0.9895,0.0795,4.545,2.2277,0.5981,200,30,60
8,bimodal_p0=0.200,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8.0,16.0,-1.5,1.2765,0.1078,128.8,11.5858,0.9905,0.0767,5.04,2.5849,0.6515,200,30,60
9,bimodal_p0=0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775,7.75,17.4375,-1.3171,1.3187,0.1011,114.25,11.71,0.998,0.0774,5.795,2.5109,0.7014,200,30,60
10,bimodal_p0=0.250,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,7.5,18.75,-1.1547,1.361,0.1407,102.2,11.995,0.9976,0.0753,6.275,3.2048,0.7401,200,30,60
11,bimodal_p0=0.275,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,7.25,19.9375,-1.0078,1.3928,0.1413,88.6,12.7614,1.0111,0.0763,6.59,2.9624,0.7798,200,30,60
12,bimodal_p0=0.300,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.0,21.0,-0.8729,1.443,0.1562,73.9,12.2286,1.0104,0.0815,7.055,3.1578,0.8228,200,30,60
13,bimodal_p0=0.325,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,6.75,21.9375,-0.7473,1.4693,0.1546,61.45,11.7938,1.0131,0.0736,7.54,3.2452,0.8555,200,30,60
14,bimodal_p0=0.350,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,6.5,22.75,-0.629,1.5568,0.1913,50.35,10.58,1.02,0.0822,8.62,3.8873,0.8879,200,30,60
15,bimodal_p0=0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,6.25,23.4375,-0.5164,1.5698,0.1899,40.7,9.9501,1.0218,0.0795,8.62,4.2028,0.9102,200,30,60
16,bimodal_p0=0.400,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,6.0,24.0,-0.4082,1.62,0.2476,30.5,9.1195,1.0349,0.0751,9.215,4.7889,0.934,200,30,60
17,bimodal_p0=0.425,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575,5.75,24.4375,-0.3034,1.663,0.2461,19.9,8.0194,1.0316,0.0761,10.015,4.8686,0.9582,200,30,60
18,bimodal_p0=0.450,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,5.5,24.75,-0.201,1.7148,0.2405,12.25,7.6636,1.0357,0.0729,10.755,4.9869,0.9751,200,30,60
19,bimodal_p0=0.475,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,5.25,24.9375,-0.1001,1.6675,0.2648,6.2,6.6166,1.0208,0.0784,10.17,5.2458,0.9869,200,30,60
20,bimodal_p0=0.500,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,25.0,0.0,1.5838,0.2377,1.9,4.0586,1.0274,0.0793,9.135,4.6373,0.9958,200,30,60
21,bimodal_p0=0.525,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,4.75,24.9375,0.1001,1.4572,0.1495,0.2,1.4035,1.0239,0.0763,6.955,2.7625,0.9996,200,30,60
22,bimodal_p0=0.550,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,4.5,24.75,0.201,1.356,0.0924,0.0,0.0,1.0121,0.0781,5.58,2.3942,1.0,200,30,60
23,bimodal_p0=0.575,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,4.25,24.4375,0.3034,1.2893,0.0727,0.0,0.0,1.006,0.0785,4.695,2.0005,1.0,200,30,60
24,bimodal_p0=0.600,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,24.0,0.4082,1.2428,0.0618,0.0,0.0,1.0076,0.0776,4.02,1.4936,1.0,200,30,60
25,bimodal_p0=0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,3.75,23.4375,0.5164,1.206,0.0498,0.0,0.0,0.9885,0.0739,3.675,1.3853,1.0,200,30,60
26,bimodal_p0=0.650,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,3.5,22.75,0.629,1.174,0.044,0.0,0.0,0.9886,0.0719,3.11,1.231,1.0,200,30,60
27,bimodal_p0=0.675,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,3.25,21.9375,0.7473,1.146,0.0421,0.0,0.0,0.9848,0.071,2.65,1.1419,1.0,200,30,60
28,bimodal_p0=0.700,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,21.0,0.8729,1.124,0.0398,0.0,0.0,0.9878,0.0631,2.345,0.9275,1.0,200,30,60
29,bimodal_p0=0.725,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,2.75,19.9375,1.0078,1.0987,0.0372,0.0,0.0,0.979,0.0578,2.02,1.0023,1.0,200,30,60
30,bimodal_p0=0.750,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.5,18.75,1.1547,1.0838,0.0326,0.0,0.0,0.9757,0.0535,1.79,0.86,1.0,200,30,60
31,bimodal_p0=0.775,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,2.25,17.4375,1.3171,1.0665,0.0304,0.0,0.0,0.9721,0.0494,1.52,0.7432,1.0,200,30,60
32,bimodal_p0=0.800,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,16.0,1.5,1.0507,0.0301,0.0,0.0,0.9775,0.0343,1.215,0.6641,1.0,200,30,60
33,bimodal_p0=0.825,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,1.75,14.4375,1.7107,1.0397,0.0246,0.0,0.0,0.9706,0.0356,1.025,0.5531,1.0,200,30,60
34,bimodal_p0=0.850,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.5,12.75,1.9604,1.0288,0.0176,0.0,0.0,0.9688,0.0293,0.825,0.4532,1.0,200,30,60
35,bimodal_p0=0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.25,10.9375,2.2678,1.0227,0.0156,0.0,0.0,0.9681,0.0235,0.68,0.4676,1.0,200,30,60
36,bimodal_p0=0.900,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,9.0,2.6667,1.0158,0.0167,0.0,0.0,0.966,0.0208,0.475,0.5006,1.0,200,30,60
