run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
1,0,70,1.4,17,16,8.771,0.9835,1.0
2,0,98,1.96,19,10,4.847,1.0688,1.0
3,0,75,1.5,11,5,3.133,1.0099,1.0
4,0,85,1.7,21,-19,11.071,1.0229,1.0
5,0,72,1.44,8,-4,3.528,0.9351,1.0
6,0,92,1.84,13,6,2.141,1.1061,1.0
7,0,78,1.56,17,-16,6.769,1.0006,1.0
8,10,71,1.42,7,-3,1.648,1.0449,0.9857
9,0,73,1.46,9,3,2.014,1.0652,1.0
10,0,83,1.66,20,13,7.048,0.9337,1.0
11,0,78,1.56,14,-14,6.179,1.0,1.0
12,0,75,1.5,10,9,6.373,1.0264,1.0
13,10,75,1.5,12,-5,4.147,0.9836,0.9865
14,0,96,1.92,16,4,3.979,1.0609,1.0
15,0,114,2.28,39,-34,15.719,1.0796,1.0
16,0,105,2.1,25,-19,13.933,1.0388,1.0
17,10,105,2.1,21,15,9.914,1.0472,0.9904
18,0,93,1.86,26,-21,13.462,1.037,1.0
19,0,95,1.9,14,3,4.716,1.008,1.0
20,10,88,1.76,17,-14,5.773,1.0734,0.9885
21,0,69,1.38,7,5,1.913,0.969,1.0
22,10,73,1.46,8,-7,4.288,1.0175,0.9861
23,10,83,1.66,14,-9,6.181,1.0357,0.9878
24,0,92,1.84,27,-24,13.37,1.0573,1.0
25,0,86,1.72,16,10,6.291,1.0417,1.0
26,0,117,2.34,23,21,7.667,1.0535,1.0
27,10,88,1.76,21,20,9.068,1.0869,0.9885
28,0,92,1.84,14,4,5.522,1.0793,1.0
29,0,73,1.46,10,1,3.973,1.0182,1.0
30,10,87,1.74,21,21,12.724,0.9883,0.9884
31,0,77,1.54,20,-19,9.857,1.0213,1.0
32,0,73,1.46,12,11,7.959,0.9908,1.0
33,0,84,1.68,13,-2,4.071,0.9454,1.0
34,0,82,1.64,17,-12,4.659,1.0461,1.0
35,0,78,1.56,12,4,3.154,0.9478,1.0
36,0,87,1.74,32,-29,16.966,0.9574,1.0
37,0,76,1.52,14,-10,7.382,1.0744,1.0
38,10,72,1.44,14,10,8.389,1.051,0.9859
39,0,72,1.44,6,-6,2.708,0.9131,1.0
40,0,82,1.64,17,8,7.756,1.0107,1.0
41,0,97,1.94,13,1,4.289,1.0454,1.0
42,10,85,1.7,21,15,9.906,0.9507,0.9881
43,10,73,1.46,8,7,3.712,0.9565,0.9861
44,0,140,2.8,48,-46,25.679,0.98,1.0
45,0,89,1.78,18,-11,5.225,1.0566,1.0
46,0,84,1.68,20,-18,9.393,0.9799,1.0
47,0,96,1.92,23,10,5.958,1.0468,1.0
48,0,85,1.7,19,17,7.776,0.9815,1.0
49,0,70,1.4,9,8,5.8,1.0347,1.0
50,0,115,2.3,19,7,9.348,1.0952,1.0
