run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
1,424,51,1.02,1,1,0.745,0.9539,0.02
2,429,53,1.06,3,3,1.189,0.9131,0.0769
3,425,51,1.02,1,1,0.333,0.9595,0.06
4,431,54,1.08,3,2,0.907,0.8655,0.0566
5,429,51,1.02,1,1,0.49,0.9539,0.1
6,420,53,1.06,2,-1,1.377,0.9762,0.0577
7,433,51,1.02,1,-1,0.686,0.9488,0.04
8,432,53,1.06,2,-1,1.151,0.8522,0.0577
9,421,51,1.02,1,-1,0.216,0.9595,0.04
10,424,53,1.06,3,-3,0.736,0.9762,0.0769
11,433,51,1.02,1,-1,0.569,0.9488,0.06
12,423,52,1.04,2,2,1.173,0.9572,0.0196
13,420,52,1.04,1,0,0.269,0.9527,0.0588
14,434,50,1.0,0,0,0.0,0.9453,0.0408
15,418,51,1.02,1,1,0.51,0.9539,0.02
16,431,51,1.02,1,-1,0.176,0.9539,0.04
17,438,51,1.02,1,1,0.882,0.9595,0.04
18,434,51,1.02,1,1,0.588,0.9595,0.06
19,426,51,1.02,1,1,0.941,0.9539,0.02
20,422,52,1.04,1,0,0.673,0.9527,0.0392
21,427,52,1.04,2,2,0.981,0.9679,0.0588
22,427,56,1.12,3,2,0.732,1.0,0.0727
23,435,51,1.02,1,1,0.765,0.9539,0.04
24,439,51,1.02,1,-1,0.255,0.9595,0.08
25,426,52,1.04,2,-2,1.442,0.9679,0.0392
26,424,51,1.02,1,-1,0.118,0.9539,0.08
27,430,51,1.02,1,-1,0.549,0.9595,0.0
28,435,55,1.1,2,-1,0.582,0.9729,0.0741
29,436,50,1.0,0,0,0.0,0.9453,0.0204
30,431,52,1.04,2,2,1.346,0.8994,0.0392
31,425,52,1.04,1,0,0.327,0.9734,0.0784
32,420,54,1.08,3,2,1.056,0.9743,0.0189
33,420,54,1.08,3,2,1.704,0.9843,0.0755
34,413,51,1.02,1,1,0.275,0.9488,0.02
35,432,50,1.0,0,0,0.0,0.9453,0.0204
36,428,53,1.06,3,-3,1.585,0.9709,0.0577
37,421,51,1.02,1,-1,0.784,0.9595,0.08
38,427,51,1.02,1,-1,0.314,0.9539,0.02
39,425,52,1.04,2,2,1.115,0.8994,0.0392
40,435,50,1.0,0,0,0.0,0.9453,0.0408
41,429,51,1.02,1,-1,0.608,0.9539,0.04
42,427,53,1.06,2,1,0.774,0.8522,0.0962
43,431,52,1.04,1,0,0.212,0.9527,0.0
44,441,51,1.02,1,-1,0.333,0.9595,0.04
45,431,51,1.02,1,-1,0.098,0.891,0.04
46,421,52,1.04,2,2,0.827,0.8994,0.0588
47,442,52,1.04,2,2,1.231,0.8994,0.0196
48,425,50,1.0,0,0,0.0,0.9453,0.0204
49,429,51,1.02,1,1,0.176,0.9539,0.08
50,431,51,1.02,1,-1,0.824,0.9539,0.04
51,431,53,1.06,2,1,1.17,0.8522,0.0577
52,426,51,1.02,1,1,0.725,0.9539,0.04
53,433,51,1.02,1,1,0.882,0.9539,0.04
54,433,51,1.02,1,1,0.431,0.9595,0.02
55,430,52,1.04,2,2,1.173,0.9679,0.0196
56,431,51,1.02,1,1,0.137,0.891,0.04
57,431,52,1.04,2,-2,1.135,0.8994,0.0588
58,424,52,1.04,1,0,0.135,0.9734,0.0392
59,430,51,1.02,1,-1,0.431,0.9539,0.04
60,424,52,1.04,2,-2,0.846,0.9679,0.0392
61,423,53,1.06,2,-1,1.208,0.9655,0.0577
62,415,52,1.04,2,-2,0.923,0.9679,0.0784
63,427,52,1.04,1,0,0.231,0.9527,0.0784
64,426,53,1.06,3,3,1.887,0.9709,0.0385
65,420,54,1.08,3,-2,1.611,0.9843,0.0755
66,411,50,1.0,0,0,0.0,0.9453,0.0408
67,439,51,1.02,1,-1,0.039,0.9539,0.06
68,431,52,1.04,1,0,0.462,0.9623,0.0196
69,414,53,1.06,2,1,1.0,0.9762,0.0577
70,407,53,1.06,2,1,0.868,0.961,0.1346
71,413,54,1.08,2,2,0.815,0.9158,0.0943
72,431,53,1.06,3,3,1.849,0.9077,0.0385
73,425,51,1.02,1,-1,0.157,0.9539,0.04
74,432,50,1.0,0,0,0.0,0.9453,0.0204
75,431,53,1.06,3,-3,1.377,0.9131,0.0385
76,433,51,1.02,1,-1,0.569,0.9595,0.06
77,422,50,1.0,0,0,0.0,0.9453,0.0204
78,437,52,1.04,1,0,0.404,0.9734,0.0588
79,417,51,1.02,1,1,0.49,0.9539,0.04
80,420,50,1.0,0,0,0.0,0.9453,0.0
81,416,50,1.0,0,0,0.0,0.9453,0.0
82,417,55,1.1,5,-5,2.527,0.9245,0.0741
83,439,52,1.04,1,0,0.308,0.9623,0.0588
84,428,51,1.02,1,1,0.745,0.9539,0.02
85,431,50,1.0,0,0,0.0,0.9453,0.0408
86,431,51,1.02,1,-1,0.745,0.9595,0.04
87,442,53,1.06,2,1,0.566,0.9762,0.0577
88,423,53,1.06,2,1,0.736,0.9762,0.0769
89,433,53,1.06,2,1,0.755,0.9762,0.0192
90,434,53,1.06,3,3,2.151,0.9131,0.0577
91,436,51,1.02,1,1,0.255,0.9539,0.04
92,426,56,1.12,4,-4,2.589,0.937,0.0545
93,432,52,1.04,2,-2,1.058,0.8994,0.0392
94,421,51,1.02,1,1,0.392,0.9539,0.04
95,429,53,1.06,2,1,0.642,0.9762,0.0385
96,427,52,1.04,2,2,1.077,0.9679,0.0
97,429,52,1.04,2,2,0.538,0.8994,0.0392
98,427,52,1.04,1,0,0.135,0.9734,0.0588
99,422,52,1.04,2,2,1.423,0.9679,0.0588
100,420,54,1.08,2,0,0.852,0.8603,0.0755
101,426,53,1.06,1,-1,0.679,0.9705,0.0577
102,422,54,1.08,4,4,1.519,0.9212,0.0566
103,434,51,1.02,1,1,0.588,0.9539,0.04
104,422,53,1.06,3,3,2.019,0.9655,0.0577
105,429,50,1.0,0,0,0.0,0.9453,0.0612
