run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
1,120,68,1.36,7,6,2.588,0.9846,0.2836
2,129,71,1.42,13,9,2.746,1.0449,0.3571
3,126,72,1.44,10,-8,5.708,1.0552,0.3521
4,128,72,1.44,20,-20,9.194,0.9503,0.3239
5,119,71,1.42,17,-17,6.746,0.9365,0.2857
6,117,69,1.38,14,-11,7.377,1.037,0.3382
7,128,70,1.4,8,6,4.6,0.8104,0.2754
8,134,66,1.32,8,-4,5.258,0.9623,0.3077
9,123,80,1.6,12,12,7.1,0.8794,0.3797
10,127,63,1.26,7,7,3.238,1.0069,0.2258
11,126,74,1.48,11,8,3.446,1.0758,0.3699
12,122,77,1.54,11,-5,6.104,1.0153,0.2895
13,119,67,1.34,6,-5,2.433,1.0864,0.3636
14,130,69,1.38,6,-5,1.522,1.0904,0.2941
15,111,72,1.44,5,-2,1.083,0.9093,0.338
16,119,66,1.32,6,0,1.273,0.9671,0.3077
17,138,69,1.38,11,-7,3.362,1.0463,0.2941
18,115,68,1.36,5,0,1.75,1.0933,0.3881
19,122,66,1.32,6,2,2.333,0.8755,0.2923
20,132,70,1.4,8,-4,2.2,1.0517,0.3043
21,128,70,1.4,6,-2,1.686,1.0262,0.4203
22,130,65,1.3,6,-3,1.738,1.0021,0.25
23,136,69,1.38,9,-9,5.696,0.8865,0.2647
24,124,77,1.54,11,5,3.39,1.022,0.25
25,129,68,1.36,8,4,3.088,0.9797,0.3284
26,122,73,1.46,5,-1,1.205,0.9646,0.2778
27,137,76,1.52,10,4,2.684,0.9666,0.2933
28,124,70,1.4,11,-10,6.671,0.9785,0.3478
29,121,70,1.4,12,10,7.1,0.8932,0.4783
30,134,71,1.42,4,-1,1.521,1.0033,0.2714
31,119,79,1.58,11,-5,3.329,0.9839,0.3462
32,124,58,1.16,2,0,1.0,0.9922,0.2456
33,132,65,1.3,5,-1,1.123,0.9354,0.2812
34,123,75,1.5,12,5,2.507,1.0177,0.3649
35,124,78,1.56,8,4,2.038,1.0424,0.4286
36,118,78,1.56,14,-10,3.051,0.963,0.3766
37,128,70,1.4,9,-6,2.857,0.8481,0.2754
38,113,74,1.48,7,2,2.784,0.9502,0.3425
39,129,65,1.3,9,9,4.692,1.0155,0.2969
40,135,66,1.32,8,6,2.53,0.8551,0.2154
41,130,79,1.58,13,11,8.291,0.9466,0.3846
42,135,70,1.4,7,-2,3.014,0.9544,0.2754
43,125,63,1.26,8,7,2.683,0.9886,0.2742
44,126,73,1.46,10,-3,2.452,1.0142,0.3194
45,123,74,1.48,13,10,6.419,1.0706,0.3425
46,117,64,1.28,4,2,1.766,1.0532,0.3175
47,123,72,1.44,6,2,2.5,0.9848,0.3099
48,131,77,1.54,11,-3,2.312,1.0451,0.3816
49,134,78,1.56,10,-4,2.167,0.9371,0.2338
50,127,68,1.36,5,4,2.015,1.0795,0.2537
51,110,75,1.5,16,-15,7.533,0.9721,0.3378
52,113,71,1.42,8,3,2.761,1.0069,0.4
53,135,68,1.36,9,8,2.412,1.04,0.2239
54,128,66,1.32,5,-4,2.364,1.0711,0.3231
55,134,68,1.36,9,-4,2.971,0.9712,0.2239
56,126,70,1.4,8,6,2.186,0.9878,0.3913
57,128,67,1.34,6,-5,2.672,0.9645,0.3182
