run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
1,9,120,1.875,21,2,8.917,1.0719,0.9244
2,9,121,1.890625,26,-17,6.463,1.0132,0.925
3,16,115,1.796875,11,3,2.652,1.0435,0.8596
4,19,139,2.171875,44,43,18.317,1.0552,0.9275
5,21,107,1.671875,12,1,5.206,0.9861,0.8868
6,16,101,1.578125,12,-1,3.178,1.0109,0.84
7,13,146,2.28125,26,-2,7.007,1.061,0.9103
8,17,111,1.734375,8,1,1.694,1.1236,0.9273
9,13,123,1.921875,29,-27,15.146,1.0864,0.8934
10,13,118,1.84375,23,-16,4.729,1.0996,0.8889
11,15,105,1.640625,23,-21,12.533,1.0572,0.9423
12,17,104,1.625,14,2,5.212,1.081,0.9223
13,24,145,2.265625,42,35,22.972,1.001,0.8958
14,14,147,2.296875,23,-23,13.252,1.0987,0.9041
15,18,132,2.0625,24,6,10.364,1.0667,0.9313
16,13,143,2.234375,17,-9,6.755,1.1329,0.9085
17,7,135,2.109375,34,-33,16.815,1.0578,0.9478
18,12,130,2.03125,19,-4,4.223,1.0943,0.907
19,9,140,2.1875,30,-26,13.643,1.1009,0.9353
20,10,130,2.03125,26,20,4.931,1.0668,0.9225
