run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
1,156,93,1.453125,5,-5,2.634,1.0716,0.3696
2,150,91,1.421875,7,-3,1.923,0.9222,0.3111
3,159,87,1.359375,6,3,1.402,0.9228,0.2674
4,161,91,1.421875,10,9,3.923,1.0657,0.2889
5,164,91,1.421875,14,5,4.011,1.0209,0.3
6,165,83,1.296875,6,1,0.976,1.0195,0.2561
7,159,87,1.359375,12,-11,5.954,0.913,0.3372
8,163,86,1.34375,13,-10,6.279,0.9558,0.3647
9,163,80,1.25,7,-6,3.725,1.0493,0.2785
10,152,82,1.28125,12,10,3.585,1.0599,0.3457
11,156,86,1.34375,7,2,1.663,1.0501,0.3176
12,168,93,1.453125,9,-1,1.892,0.9863,0.3478
13,158,92,1.4375,6,4,2.065,1.1733,0.2967
14,171,88,1.375,11,-8,5.523,1.0444,0.3333
15,161,82,1.28125,10,10,4.72,1.0633,0.321
16,170,97,1.515625,11,5,1.938,1.0925,0.3542
17,152,87,1.359375,12,11,6.402,1.0331,0.3023
18,161,89,1.390625,20,-19,10.427,1.0049,0.2614
19,160,95,1.484375,10,-1,1.726,0.9986,0.2766
20,169,95,1.484375,14,7,6.253,1.0646,0.2979
