dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W,family,dijk_mean_resistance,dijk_std_resistance,dijk_mean_tortuosity,dijk_std_tortuosity,dijk_mean_lateral,greedy_mean_resistance,greedy_std_resistance,greedy_mean_tortuosity,greedy_std_tortuosity,greedy_mean_lateral,tau_gap,res_gap,efficiency
24,bimodal_p0=0.600,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.0,24.0,0.4082,1.2747,0.0467,0.0,0.0,0.9857,0.0566,6.355,2.4141,1.0,200,50,100,bimodal,0.0,0.0,1.2564,0.0465389014345383,6.46,59.8,28.389962130104077,1.5135999999999998,0.3393269128272089,12.615,0.2571999999999999,59.8,0.0
13,bimodal_p0=0.325,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,6.75,21.9375,-0.7473,1.5416,0.1472,106.95,13.4947,0.9971,0.0564,12.02,4.9306,0.8579,200,50,100,bimodal,108.4,12.816446720236593,1.5081,0.14758487890841684,11.335,260.0,85.80684162904353,1.5492,0.4928915401503244,10.025,0.041099999999999914,151.6,0.41692307692307695
8,bimodal_p0=0.200,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,8.0,16.0,-1.5,1.3205,0.0989,226.5,13.6999,0.9841,0.0538,8.09,3.7567,0.6495,200,50,100,bimodal,223.4,13.761792567589689,1.3001999999999998,0.09451255533302383,8.335,367.95,83.08920858279114,1.4043,0.31297488139131796,7.87,0.1041000000000003,144.54999999999998,0.6071477102867238
25,bimodal_p0=0.625,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,3.75,23.4375,0.5164,1.2385,0.0384,0.0,0.0,0.9742,0.0612,5.615,2.1021,1.0,200,50,100,bimodal,0.0,0.0,1.2162,0.033693266106219574,5.76,46.3,23.238116323214676,1.4578,0.2913823577225632,11.21,0.24160000000000004,46.3,0.0
4,bimodal_p0=0.100,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,9.0,9.0,-2.6667,1.1513,0.0623,334.9,13.487,0.9615,0.0457,4.7,2.3575,0.406,200,50,100,bimodal,337.6,12.369520003849306,1.1365,0.06526136089701662,4.985,444.05,39.099120271818784,1.2146,0.12177431964344171,4.735,0.07809999999999984,106.44999999999999,0.7602747438351537
40,bimodal_p0=1.000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9453,0.0,0.0,0.0,1.0,200,50,100,bimodal,0.0,0.0,0.9800000000000003,3.339027102258766e-16,0.0,0.0,0.0,0.9800000000000003,3.339027102258766e-16,0.0,0.0,0.0,1.0
19,bimodal_p0=0.475,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,5.25,24.9375,-0.1001,1.8435,0.2894,9.45,6.9599,1.0267,0.0562,18.035,8.5216,0.9894,200,50,100,bimodal,8.6,7.571435343832049,1.8201000000000003,0.30004688075910124,17.78,130.8,49.64557802146558,1.5819,0.49183319270585646,11.99,-0.2382000000000002,122.20000000000002,0.0657492354740061
39,bimodal_p0=0.975,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.25,2.4375,6.0849,1.0023,0.0064,0.0,0.0,0.9465,0.0034,0.115,0.3198,1.0,200,50,100,bimodal,0.0,0.0,0.9831000000000002,0.0072562570469670105,0.155,0.0,0.0,1.0047,0.024554523475636397,1.19,0.02159999999999973,0.0,1.0
60,uniform_2to3,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.25,0.0,1.0196,0.0178,112.74,1.4501,0.9475,0.02,0.915,0.8314,0.0,200,50,100,uniform,112.755,1.433614751696357,0.9984000000000001,0.017748664044848133,0.855,122.425,3.4993718029205434,0.9800000000000003,3.339027102258766e-16,0.0,-0.01839999999999975,9.670000000000002,0.9210128650193996
90,uniform_7to8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,7.5,0.25,0.0,1.0,0.0,358.825,1.3578,0.9453,0.0,0.0,0.0,0.0,200,50,100,uniform,358.855,1.5831953567669537,0.9801000000000002,0.0014142135623730963,0.005,367.555,3.5553025018128888,0.9800000000000003,3.339027102258766e-16,0.0,-9.999999999987796e-05,8.699999999999989,0.9763300730502918
